,League,Team,Country,Rating,Age,Years,AAV
Jimmy Smith,Italy,Parma,Italy,72.29804956649173,4,2,13.049999999999999
Sallie Davis,Belgium,Mechelen,Belgium,72.28682058983857,3,1,1.0
Michael Kyer,United States,Philadelphia,Japan,72.22933748738018,8,2,31.666666666666664
William Holsapple,United States,Indianapolis,Australia,72.22700785971351,7,3,12.600000000000001
Brendan Calvillo,Germany,Frankfurt,Philippines,72.21491570800382,8,1,37.5
Dante Beasley,China,Chengdu,China,72.21393264314392,7,3,11.199999999999998
Evelyn Bennett,Canada,Saskatoon,Canada,72.12937223027872,6,1,7.933333333333334
Joshua Ward,Switzerland,Bern,Switzerland,72.12770709667045,6,1,9.666666666666666
Annmarie Clauson,Argentina,Mar del Plata,Russia,72.12233725593464,6,1,8.866666666666665
Justine Antonio,South Korea,Gwangju,South Korea,72.10659105677885,6,1,7.0
Eric Ozzella,Italy,Rome,Chile,72.10189775424877,9,1,99.45679012345681
Michael Rincon,Canada,Laval,Canada,72.06183341739522,6,1,6.9
David Fernandez,China,Nanjing,New Zealand,72.0302583668365,7,2,20.8
Belinda Battle,Poland,Wroclaw,Australia,72.01778666077215,7,3,14.466666666666665
Jaime Kovacs,Angola,Luanda,Italy,71.9871525900088,6,1,8.666666666666668
Robert Kennedy,Kuwait,Kuwait City,Philippines,71.95126801678266,4,3,18.0
Tyler Charlesworth,Russia,Novosibirsk,Russia,71.92048887743759,5,2,7.777777777777776
Samantha Nixon,India,Lucknow,India,71.91945979188385,7,3,10.666666666666666
Lucille Willis,Mexico,Mexico City,United States,71.91440484954744,6,1,26.888888888888886
Jeri Murphy,Turkey,Istanbul,China,71.90735900798302,4,3,15.300000000000011
James Myers,France,Saint-Etienne,France,71.89567682672539,7,3,12.333333333333334
Mark Dixon,Morocco,Casablanca,Italy,71.89056334833198,6,1,9.0
Herbert Coburn,Russia,Nizhny Novgorod,Russia,71.86936021992416,6,1,6.0
Bethany Ivey,Japan,Sendai,Japan,71.84217905412936,7,3,11.466666666666665
Angel Todd,Russia,Kazan,Russia,71.82262578008599,5,2,5.1
Ed Jefferson,United Kingdom,Manchester,United Kingdom,71.82022586633488,7,3,10.0
Michael Carver,Netherlands,Amsterdam,India,71.81321061882129,6,1,26.03333333333333
Mary Brenner,Canada,Longueuil,United States,71.77867898407473,6,1,6.5
Michelle Russell,China,Tianjin,China,71.77393451493188,5,2,12.041666666666668
Angela Zeck,Israel,Netanya,United Kingdom,71.75980511545971,6,1,4.9
Kaitlyn Pfahler,Japan,Okayama,Japan,71.759206677008,4,3,11.277777777777779
John Grady,South Korea,Goyang,Germany,71.72373589631898,5,2,5.777777777777779
Steven Fultz,Australia,Sydney,Germany,71.70212069102658,8,2,74.55
Enrique Madden,United Kingdom,Manchester,United Kingdom,71.67436527706796,5,2,11.666666666666668
Steven Alpert,France,Villeurbanne,Pakistan,71.65242313923865,5,2,12.466666666666667
Christopher Godwin,United Kingdom,Plymouth,India,71.61984318655699,5,2,7.199999999999999
James Pierce,Ireland,Galway,India,71.61830252539681,5,2,8.132716049382717
Julienne Rice,South Africa,Cape Town,Israel,71.56214870912295,7,3,13.2
Sheila Nichols,South Korea,Ansan,South Korea,71.54174918782259,6,1,3.966666666666667
Clara Lee,Spain,Vitoria,Spain,71.5268566165021,6,1,7.933333333333334
Frances Sandberg,China,Nanjing,China,71.50645639494863,4,3,10.399999999999999
Amanda Cahn,China,Jinan,Oman,71.45545753748681,7,2,12.833333333333332
Wanda Leven,United States,Philadelphia,United States,71.45090656013069,7,3,12.666666666666671
Scott Alexander,France,Dijon,France,71.43448941715178,7,3,9.738271604938271
Vicki Kreitner,China,Guangzhou,China,71.4050701379846,5,2,9.899999999999999
Wendi Ramos,Germany,Leipzig,Japan,71.39848913501875,5,2,14.0
Shirley Giebler,Mexico,Merida,Mexico,71.37944867234616,6,1,4.0
Rachel Winburn,Indonesia,Bekasi,Norway,71.36933664047316,6,1,10.207407407407405
Tequila Fontaine,Canada,Edmonton,United States,71.36701698775865,5,2,7.933333333333332
Pamela Macomber,Switzerland,Geneva,France,71.30776865410247,6,1,8.799999999999997
Cristina Mcdermott,Hungary,Budapest,India,71.26957208487607,5,2,18.51111111111111
Michelle Hayden,United Arab Emirates,Al Ain,Australia,71.25179394335784,6,1,6.400000000000002
Jeri Cravens,South Korea,Daejeon,South Korea,71.23317274096378,7,3,14.921810699588477
Tara Deshields,Argentina,Rosario,Russia,71.2319505783308,5,2,3.666666666666667
Joshua Conrad,Brazil,Maceio,Sweden,71.20842833856584,6,1,7.933333333333334
Donald Cherry,South Korea,Suwon,South Korea,71.20461515384456,7,3,14.0
Kevin Pearl,Italy,Catania,Italy,71.18246654661787,7,3,12.533333333333335
Ginger Hesser,Nigeria,Abuja,Nigeria,71.16389975134973,4,3,14.0
Andre Romero,United States,Seattle,United States,71.13052417098858,5,2,14.0
Kenneth Dunbar,South Korea,Ulsan,South Korea,71.11549068511658,7,2,13.066666666666668
Johnny Reilly,South Korea,Goyang,Poland,71.09154062548677,7,3,12.133333333333333
Corinne Roberts,New Zealand,Auckland,United Kingdom,71.08561606967383,6,1,20.444444444444443
Archie Stapleton,France,Paris,United Kingdom,71.0840297804804,8,2,54.016666666666666
Antoinette Goldsmith,Saudi Arabia,Dammam,Indonesia,71.06691548967214,6,1,7.037037037037038
Jerilyn Bown,United States,Houston,United States,71.05262261199168,5,2,9.0
Amanda Cary,Finland,Oulu,Singapore,71.0315452415568,6,1,5.333333333333333
Richard Bejarano,Mexico,Chihuahua,Russia,71.00136240231345,7,3,10.0
Lori Carnillo,United Kingdom,Belfast,United Kingdom,70.98929579973175,4,3,10.333333333333332
Lee Leonard,Vietnam,Ho Chi Minh City,Vietnam,70.95823207737031,8,2,33.5
Margaret Burch,Japan,Shizuoka,France,70.94087694549462,7,3,11.200000000000001
Gary Dean,Italy,Taranto,Italy,70.93418875777454,6,1,11.111111111111112
Ramiro Cleveland,Qatar,Al Rayyan,Qatar,70.90634615795037,5,2,4.5
Thomas Krupa,France,Marseille,France,70.90002552372898,8,2,24.93333333333333
Arnold Farley,Israel,Beer Sheva,United Kingdom,70.89855647012638,5,2,4.0
Joellen Lail,France,Angers,France,70.89300183799917,5,1,3.8197530864197526
Nancy Caldwell,Pakistan,Multan,Japan,70.85901414051273,3,1,0.9777777777777779
Rachel Salazar,China,Shenzhen,Switzerland,70.84182892756824,8,2,54.0
Robbin Garcia,China,Shenzhen,China,70.837099692451,7,3,10.799999999999997
Frank Jobst,France,Toulon,Netherlands,70.79321892421521,6,1,6.333333333333336
Terri Arnold,Germany,Dresden,Ireland,70.79116057491377,9,3,11.0
Robert Jenkins,Hungary,Budapest,Japan,70.78752153698649,5,2,9.255555555555556
John Halsey,Belgium,Liege,Algeria,70.74221765149024,6,1,9.614814814814814
Ron Reinsfelder,Kuwait,Hawalli,Japan,70.71229427954485,6,1,5.833333333333334
Jose Romano,Poland,Krakow,Poland,70.6895821070723,5,2,12.666666666666664
Scott Choi,Germany,Dusseldorf,Germany,70.68542417950853,5,2,14.466666666666669
Callie Sizemore,Canada,Quebec City,Russia,70.67800689823332,7,3,13.066666666666666
Dana Pack,Denmark,Aarhus,India,70.64953965160507,5,2,8.88888888888889
Antonio Briggs,United States,New York,United States,70.64797115023067,9,1,57.925925925925924
Rafael Erdman,Switzerland,Lugano,United Kingdom,70.64159952813029,6,1,5.6000000000000005
Paul Burton,Kuwait,Kuwait City,India,70.6358157011793,5,2,6.0
Charles Karg,Brazil,Goiania,Brazil,70.62897300331758,6,1,8.666666666666666
Sandra Ashworth,Poland,Lodz,Ecuador,70.62709060097812,7,3,14.933333333333334
Gayle Schirmer,Canada,Gatineau,Norway,70.59353731399437,6,1,6.0
Angela Otoole,Italy,Brescia,Italy,70.58527268793524,6,3,10.0
John Luckner,India,Delhi,France,70.57763620390313,8,2,101.1
Genevieve Miller,Greece,Athens,Singapore,70.57190113217472,7,3,17.333333333333332
Joseph Ledbetter,Sweden,Stockholm,Mexico,70.57015384822323,5,2,9.599999999999998
Joe Nelms,Canada,Winnipeg,India,70.56039904515008,5,2,13.0
Kevin Griego,Indonesia,Depok,Germany,70.49796106101823,7,3,13.511111111111111
India Carlton,Saudi Arabia,Medina,Saudi Arabia,70.46713643997998,6,1,8.666666666666666
Brittany Huhman,Russia,Nizhny Novgorod,Russia,70.45820015874045,5,2,6.0
Mason Grieco,Ireland,Cork,Ireland,70.44387395012845,5,1,5.133333333333333
Ronald Rao,United Kingdom,Stoke,India,70.43055003439251,5,2,9.200000000000001
Virginia Jacobs,Netherlands,Amsterdam,New Zealand,70.42789451665033,7,3,13.016666666666666
Rafael Bradley,India,Visakhapatnam,India,70.42154907536266,7,3,9.35
Patricia Dowd,Germany,Cologne,Germany,70.39429826711776,7,3,10.700000000000003
Ellen Bell,Brazil,Porto Alegre,Singapore,70.39424786380818,6,1,7.5
Glinda Berntson,United Kingdom,Bradford,United Kingdom,70.38185257477333,7,3,9.800000000000002
Jessica Miles,United States,San Francisco,Pakistan,70.3683004008808,5,3,12.3
Ronald Smith,Spain,Cordoba,Spain,70.33473976475982,7,3,9.9
Matthew Vincent,Italy,Florence,Italy,70.33215272316481,7,3,11.4
Luther Garrett,United States,Dallas,Peru,70.3284030936043,7,3,12.246913580246915
Roger Derryberry,Italy,Rome,United Kingdom,70.29909469376716,8,2,91.60493827160494
Louis Serrano,Indonesia,Jakarta,Indonesia,70.24790612871429,8,1,95.99999999999999
Sarah Hill,France,Angers,France,70.23678467637953,4,3,11.081481481481482
Brett Cabiness,China,Hangzhou,China,70.21541761868416,5,2,17.844444444444445
Nancy Husar,Spain,Madrid,Chile,70.16725699150282,8,2,68.62962962962962
Kris Ramirez,Germany,Hanover,Germany,70.15429458942783,7,3,10.6
Peter Cagle,Russia,Krasnoyarsk,Russia,70.15350987727084,7,3,9.600000000000001
Janene Grigsby,Finland,Helsinki,South Korea,70.14154488017105,5,2,4.5
Alton Cornelius,France,Lille,India,70.13550720676727,5,2,8.5
Michael Mcgrane,Canada,Edmonton,Poland,70.11057634604518,5,2,15.866666666666665
David Carrico,China,Chongqing,United Kingdom,70.07456617465766,8,2,39.20000000000001
Landon Ebert,Germany,Bochum,Germany,70.06935310728943,7,3,10.8
Charlotte Phillips,Israel,Herzliya,Ethiopia,70.0639930715877,5,2,4.0
Jacqueline Miller,Canada,Calgary,Canada,70.04408013035695,4,3,13.033333333333331
Erma Richards,Mexico,Puebla,China,70.04332400433402,5,2,10.5
Vivian Backer,Iraq,Baghdad,China,70.02982154077736,7,3,16.333333333333332
Billie Larez,Canada,Montreal,Canada,70.02705321124617,5,2,22.0
Larry Gilliam,Japan,Kitakyushu,Japan,70.00030214250503,7,3,12.333333333333334
Sheila Reed,Portugal,Lisbon,Australia,69.9652010402649,7,3,15.199999999999998
Colby Junke,Malaysia,Kuala Lumpur,India,69.962228880707,6,1,12.4
Myrtle Foreman,Poland,Bialystok,Poland,69.95738394843173,5,2,5.0
Thomas Parker,Belgium,Mons,Singapore,69.95405933964442,5,1,4.155555555555556
Jonathan Lassalle,Algeria,Algiers,Russia,69.93778899943823,4,3,16.2
Isabelle Whilden,Belgium,Ghent,Germany,69.90937799832285,7,3,14.222222222222223
Allison March,United Kingdom,Nottingham,United Kingdom,69.90040959880322,4,3,10.0
Jana Dewar,China,Qingdao,China,69.8981359121852,7,2,17.1
Mark Schaeffer,India,Hyderabad,India,69.8650616717432,8,2,43.2
Henry Tolson,Japan,Sapporo,Japan,69.85524892053111,4,3,10.694444444444446
Gabriel Burlew,Pakistan,Lahore,Italy,69.83496150771622,5,2,10.6
Elizabeth Owens,Finland,Oulu,Japan,69.81523552028773,6,1,2.666666666666667
Dong Shackford,United States,San Francisco,Ukraine,69.78876698821,5,2,16.4
Robert Farmer,Canada,Markham,Canada,69.76150979115363,6,1,8.4
Pearl Swedenburg,Egypt,Cairo,United States,69.73668563053093,8,2,57.999999999999986
Maria Scott,Australia,Canberra,Australia,69.73532629314595,5,2,5.066666666666667
Graham Bostic,France,Bordeaux,France,69.72511953130666,7,3,11.199999999999996
William Eitniear,Sweden,Orebro,Brazil,69.68336305479528,5,2,5.0
Lindy Brown,Romania,Bucharest,Italy,69.67669032227823,5,2,10.833333333333332
Rebecca Jones,China,Chongqing,Singapore,69.64773003718342,8,1,45.733333333333334
Walter Collins,Indonesia,Bandar Lampung,Colombia,69.64650641627101,6,1,6.0
Alyssa Leese,Switzerland,Lausanne,Romania,69.62782798215702,5,2,8.266666666666667
Rhonda Hill,Turkey,Bursa,Turkey,69.60102623325078,6,1,8.399999999999999
Ruby Hatherly,India,Kolkata,India,69.59689954409245,8,2,30.400000000000002
Scott Mello,New Zealand,Christchurch,Italy,69.57582155245724,6,1,6.6000000000000005
Mary Overton,France,Marseille,Brazil,69.56888058596223,8,2,49.86666666666667
Jacob Turner,Brazil,Guarulhos,Australia,69.54823574754641,6,1,6.9
Aurelio Barlow,United Kingdom,Sheffield,United Kingdom,69.5361033338749,5,2,7.950000000000001
Dallas Reep,Italy,Messina,Switzerland,69.53425520485585,7,3,10.5
Edward Mohr,Oman,Muscat,Argentina,69.51591913908935,4,3,15.299999999999999
Edward Chi,Germany,Bielefeld,Germany,69.50842916796319,7,3,9.9
Bradley Sheriff,Germany,Cologne,Saudi Arabia,69.50600286392361,9,1,48.15
David Butler,Australia,Wollongong,Spain,69.50056737498088,5,2,5.488888888888889
Jorge Patel,United Kingdom,Edinburgh,United Kingdom,69.49274893716316,7,3,9.399999999999997
Pamela Yancey,Canada,Ottawa,China,69.47049350862629,4,3,13.740740740740742
Erik Fox,United Arab Emirates,Dubai,Switzerland,69.46119054583062,7,3,13.899999999999991
Richard Watkins,Japan,Kawasaki,Japan,69.46010669285593,7,3,12.0
Ada Courtwright,Indonesia,Malang,Spain,69.39663883484994,6,1,5.7
Vanessa Gunnell,Japan,Tokyo,Belgium,69.39495916479213,8,2,100.9259259259259
John Riegel,South Korea,Bucheon,China,69.3938319192546,6,1,4.666666666666666
Monique Smoke,Sweden,Helsingborg,Germany,69.3895176082657,6,1,6.0
Christie Carroll,Mexico,Acapulco,Mexico,69.37673956001014,6,1,4.200000000000001
Alexis Benjamin,China,Jinan,China,69.36670365742697,7,3,11.0
Dan Clinton,Slovakia,Bratislava,Japan,69.35048202844581,6,1,8.055555555555555
Jennifer Cerezo,South Korea,Seongnam,South Korea,69.3317026358127,6,1,6.355555555555554
Dennis Shirley,Brazil,Joao Pessoa,Italy,69.33084277142706,6,1,6.844444444444444
Crystal Watson,Indonesia,Bandar Lampung,Spain,69.32988097163685,6,1,3.0
Odette Payne,Japan,Hamamatsu,Japan,69.32156196679283,7,3,10.666666666666666
Deana Edwards,China,Shenyang,China,69.31783605214555,7,2,10.199999999999996
Monica Hafenstein,Saudi Arabia,Taif,Brazil,69.31606309224208,5,2,6.933333333333334
Austin Flood,Netherlands,Rotterdam,United States,69.2771435943365,5,2,16.66666666666667
Tawanna Lavigne,South Korea,Hwaseong,Germany,69.27082766562886,6,1,7.555555555555556
Julie Roberts,Austria,Klagenfurt,Austria,69.26996816417018,5,2,5.681481481481481
Neva Roberts,India,Mumbai,Canada,69.26164532218078,8,2,87.15555555555557
Paul Christensen,India,Kolkata,Poland,69.25736803700555,8,2,45.6
Vicki Gonzalez,United States,Chicago,United States,69.2559738954531,8,2,38.099999999999994
Cassie Colgan,Russia,Saratov,Germany,69.25462879167044,6,1,9.0
John Emrick,Malaysia,Miri,India,69.24998729527643,3,1,1.0
Joseph Merritt,Italy,Palermo,Italy,69.24835455016697,8,2,44.55
William Clark,Mexico,Guadalajara,Mexico,69.23970101696516,4,3,12.0
Amber Blough,Italy,Genoa,Turkey,69.21237527917168,8,1,21.022222222222226
Jimmy Harden,Germany,Munich,South Africa,69.20256767615939,8,2,58.8
Lori Tylor,Canada,Winnipeg,United Kingdom,69.19723850043961,4,3,13.0
Kelvin Ricks,Austria,Graz,Slovakia,69.1574625500097,5,2,9.600000000000001
Justin Garcia,Australia,Adelaide,Peru,69.1519377864275,5,2,5.5
Marjorie Stevens,United States,Columbus,Iraq,69.14381693897855,6,3,11.466666666666669
Juanita Griffith,New Zealand,Auckland,Saudi Arabia,69.1418245291847,5,2,12.72098765432099
Richard Sylvia,Turkey,Mersin,Turkey,69.12904531956605,5,1,2.666666666666666
Matthew Getty,Brazil,Belem,Brazil,69.11757277352407,7,3,11.666666666666664
Robert Spellman,Mexico,Merida,Germany,69.09963718089305,6,1,8.0
Jessica Johnson,Ecuador,Guayaquil,France,69.0946500355761,6,1,13.75
Mervin Leahy,Indonesia,Pekanbaru,Italy,69.07504681271884,6,1,3.833333333333333
Dorothy Hernandez,Czech Republic,Prague,United States,69.07492189569257,5,2,18.9
Vera Johnson,Brazil,Manaus,Brazil,69.0583705931121,4,3,11.099999999999998
Karl Stewart,Belgium,Antwerp,Belgium,69.0349426601265,5,2,15.296296296296298
Matthew Williamson,Switzerland,Bern,France,69.03437036099353,6,1,4.833333333333334
Carlton Calderone,Finland,Vantaa,Belgium,69.02538058549638,5,2,5.333333333333333
Marcia Love,Ecuador,Guayaquil,South Korea,69.01669352830736,5,2,5.5
Joyce Medina,Japan,Sakai,Japan,69.00345590760838,4,3,11.0
Anthony Crowell,Indonesia,Makassar,India,68.99724772813613,5,2,12.088888888888889
Eugene Newman,Poland,Krakow,Poland,68.98826134467308,6,1,6.333333333333336
Deborah Perez,Norway,Drammen,Germany,68.93173083632195,5,2,5.333333333333333
Carrie Lancaster,Germany,Leipzig,Germany,68.92524807253281,7,3,12.0
John Johnson,United States,Austin,United States,68.90780692019436,5,2,10.733333333333334
Donna Rivers,United States,Charlotte,United States,68.90295132647982,7,3,12.133333333333331
Jeremy Su,Czech Republic,Plzen,Canada,68.89689477480081,5,2,3.9111111111111114
Erica King,Kenya,Nairobi,Spain,68.88452355424003,6,1,9.0
Daniel Kee,Belgium,Antwerp,Germany,68.87693675385835,5,2,7.648148148148149
Nelly Nash,Italy,Palermo,Italy,68.85843692637538,4,3,9.900000000000006
Monty Price,Japan,Osaka,Japan,68.83109604059909,8,2,43.2
Rachel Easter,Germany,Frankfurt,Germany,68.82783741217564,6,1,10.0
Leonor Lloyd,United States,Seattle,United States,68.81061687371137,7,3,11.666666666666666
Verda Hobbs,Belgium,Antwerp,Spain,68.80696517873744,7,3,13.111111111111107
Merle Land,Colombia,Pasto,Sweden,68.80450879058861,3,1,0.6
David Yoo,Italy,Bari,Italy,68.76861642831018,7,3,9.6
Steve Herndon,Israel,Petah Tikva,Japan,68.76448489549429,6,1,8.0
Jesse Martinez,Colombia,Bogota,China,68.76044606369037,7,3,13.2
Gary Cannon,Nigeria,Kano,United States,68.7589105164162,6,1,13.0
Betty Macqueen,Argentina,Cordoba,Argentina,68.75822330965207,4,3,12.0
Marcus Lahay,Hong Kong,Hong Kong,Philippines,68.74352804749041,6,1,15.0
Robert Justus,United Kingdom,Leeds,United Kingdom,68.7063041694037,7,3,9.269444444444442
Linda Hurtado,South Africa,Port Elizabeth,Japan,68.6984593764448,5,2,3.6
Eric Haynes,Indonesia,Padang,Indonesia,68.69712146749835,5,2,3.799999999999999
Dale Dumont,Australia,Melbourne,Germany,68.69644593863656,8,2,45.11111111111112
Ruth Gram,France,Strasbourg,France,68.68880790326351,7,3,9.149999999999999
Mauricio Butler,South Korea,Suwon,United Kingdom,68.6558143272927,6,1,6.0
Heather Nale,United States,Denver,United States,68.6416672178427,7,3,9.738271604938271
Laura Hamilton,Malaysia,Klang,Canada,68.64123452826041,5,2,4.200000000000001
Kerry French,Indonesia,Bekasi,Indonesia,68.6393855813439,6,1,20.414814814814815
Robert Shaffer,Japan,Shizuoka,Japan,68.62539365307721,5,2,8.399999999999999
Kenneth Ashman,India,Delhi,Singapore,68.6215387397017,9,1,134.8
Alexander Rauch,Japan,Hamamatsu,Japan,68.6190654052236,5,2,10.666666666666664
William Suggett,France,Toulouse,Germany,68.60142017824333,8,2,48.68148148148148
Frank Hans,France,Angers,France,68.60096833301252,5,2,7.639506172839506
Buffy Fernandez,United Arab Emirates,Bur Dubai,United Arab Emirates,68.59603964706922,5,2,3.4000000000000004
Joshua Rice,Singapore,Singapore,Canada,68.58566946626439,8,1,114.66666666666667
Sherri Edwards,France,Nimes,Ethiopia,68.58309683443626,7,3,9.6
Roy Crawford,Japan,Okayama,Japan,68.57139471987816,6,1,8.055555555555555
Latoyia George,Poland,Wroclaw,India,68.56268684721128,6,1,8.725925925925926
John Hill,Finland,Helsinki,Malaysia,68.54972183502834,7,3,13.5
Kathleen Glaab,Spain,Palma,Morocco,68.54744359174153,7,3,11.200000000000001
Thomas Balius,Poland,Krakow,Ireland,68.54631460856778,7,3,12.666666666666666
James Buco,Norway,Bergen,Turkey,68.54584707566666,5,2,10.266666666666667
Irene Miller,Germany,Wuppertal,Germany,68.53591592957883,7,3,10.5
Michael Schafer,South Africa,Johannesburg,South Africa,68.53484605896885,6,1,7.1111111111111125
Emilio Oliver,Sweden,Malmo,Sweden,68.52734796217074,7,3,10.888888888888893
George Grasser,Norway,Sandefjord,Japan,68.50874258880883,5,2,4.666666666666667
Keith Lehr,Russia,Samara,Russia,68.49936388983733,7,3,10.0
Brittny Mcfaul,Mexico,Acapulco,Mexico,68.49908475939539,5,2,3.599999999999999
James Nelson,Japan,Niigata,Japan,68.48725697039202,6,1,5.166666666666666
